Ability	kyky
About	noin
Above	edellä
Abuse	väärinkäyttö
Accept	hyväksyä
Access	pääsy
Achieve	saavuttaa
Acknowledge	tunnustaa
Acquire	hankkia
Across	poikki
Act	toimia
Action	toiminta
Activity	toiminta
Actually	itse asiassa
Adapt	sopeutua
Add	lisätä
Adjust	säätää
Administration	hallinto
Admire	ihailla
Admit	myöntää
Adopt	adoptoida
Adore	jumaloida
Adult	aikuinen
Advance	etukäteen
Affect	vaikuttaa
Afford	olla varaa
After	jälkeen
Again	uudelleen
Against	vastaan
Age	ikä
Agency	virasto
Agree	olla samaa mieltä
Air	ilmaa
Allow	sallia
Almost	melkein
Along	pitkin
Already	jo
Although	siitä huolimatta
Always	aina
Among	joukossa
Amount	määrä
Analysis	analyysi
Anger	suututtaa
Animal	eläin
Another	toinen
Answer	vastaus
Anyone	ketään
Anything	mitä tahansa
Apologize	pyydä anteeksi

Read also:  Play vocabulary quiz

Appeal	vetoomus
Appear	ilmestyvät
Apply	Käytä
Appreciate	arvostaa
Approach	lähestyä
Approve	hyväksyä
Area	alueella
Argue	väitellä
Arise	nousta
Around	noin
Arrange	järjestää
Arrive	saapua
Art	taide
Article	artikla
Artist	taiteilija
Ask	kysyä
Assist	avustaa
Associate	kumppani
Assume	olettaa
Assure	vakuuttaa
Attach	liittää
Attack	hyökkäys
Attempt	yrittää
Attend	osallistua
Attention	huomio
Attract	vetää puoleensa
Author	kirjoittaja
Available	saatavilla
Avoid	välttää
Away	pois
Baby	vauva
Back	takaisin
Bad	huono
Bake	leipoa
Balance	saldo
Ball	pallo
Bank	pankki
Base	pohja
Battle	taistelu
Bear	karhu
Beat	lyödä
Beautiful	kaunis
Because	koska
Become	tulla
Bed	sänky
Been	ollut
Before	ennen
Begin	alkaa
Behavior	käyttäytymistä
Behind	takana

Being	oleminen
Believe	usko
Belong	kuulua
Bend	mutka
Benefit	hyötyä
Best	parhaat
Better	paremmin
Between	välillä
Beyond	pidemmälle
Big	iso
Blame	syyttää
Block	lohko
Blood	verta
Blow	isku
Board	aluksella
Body	vartalo
Book	kirja
Born	syntynyt
Borrow	lainata
Box	laatikko
Boy	poika
Break	tauko
Bring	tuoda
Brush	harjata
Building	rakennus
Burn	polttaa
Burst	räjähtää
Business	liiketoimintaa
Call	puhelu
Camera	kamera
Campaign	kampanjaan
Cancel	peruuttaa
