Suomi,English
kuin,as
minä,i
hänen,his
että,that
hän,he
oli,was
varten,for
päälle,on
olemme,are
kanssa,with
ne,they
olla,be
klo,at
yksi,one
olla,have
tämä,this
alkaen,from
mukaan,by
kuuma,hot
sana,word
mutta,but
mitä,what
jotkut,some
on,is
se,it
sinua,you
tai,or
oli,had
päälle,the
jos,of
to,to
ja,and
tehdä,a
sisään,in
me,we
voida,can
ulos,out
muut,other
olivat,were
joka,which
tehdä,do
niiden,their
aika,time
jos,if
tahtoa,will
miten,how
sanoi,said
pieni,an
kukin,each
kertoa,tell
tekee,does
setti,set
kolme,three
haluta,want
ilma,air
hyvin,well
myös,also
pelata,play
pieni,small
pää,end
laittaa,put
koti,home
lue,read
käsi,hand
portti,port
suuri,large
oikeinkirjoituksen,spell
lisätä,add
jopa,even
maa,land
täällä,here
must,must
iso,big
korkea,high
niin,such
seurata,follow
säädös,act
miksi,why
kysyä,ask
miehet,men
muutos,change
meni,went
valo,light
kind,kind
pois,off
tarvitsevat,need
talo,house
kuva,picture
yrittää,try
meille,us
jälleen,again
eläin,animal
kohta,point
äiti,mother
maailma,world
lähellä,near
rakentaa,build
itse,self
maa,earth
isä,father
kaikki,any
uusi,new
työ,work
osa,part
ottaa,take
saada,get
paikka,place
tehty,made
elää,live
jossa,where
jälkeen,after
takaisin,back
vähän,little
vain,only
pyöreä,round
mies,man
vuosi,year
tuli,came
show,show
joka,every
hyvä,good
minua,me
antaa,give
meidän,our
alle,under
nimi,name
hyvin,very
kautta,through
vain,just
lomake,form
virke,sentence
suuri,great
ajatella,think
sanoa,say
auttaa,help
alhainen,low
linja,line
erota,differ
vuoro,turn
syy,cause
paljon,much
tarkoittaa,mean
ennen,before
liikkua,move
oikea,right
poika,boy
vanha,old
liian,too
sama,same
hän,she
kaikki,all
siellä,there
kun,when
ylös,up
käyttää,use
sinun,your
tapa,way
noin,about
monet,many
sitten,then
niitä,them
kirjoittaa,write
olisi,would
kuten,like
niin,so
nämä,these
hänen,her
pitkä,long
tehdä,make
asia,thing
nähdä,see
häntä,him
kaksi,two
on,has
katso,look
lisää,more
päivä,day
voisi,could
mennä,go
tulevat,come
teki,did
numero,number
ääni,sound
ei,no
eniten,most
ihmiset,people
minun,my
yli,over
tietää,know
vesi,water
kuin,than
puhelu,call
ensimmäinen,first
jotka,who
saattaa,may
alas,down
puoli,side
ollut,been
nyt,now
löytää,find
pää,head
seistä,stand
oma,own
sivu,page
pitäisi,should
maa,country
löytyi,found
vastaus,answer
koulu,school
kasvaa,grow
tutkimus,study
vielä,still
oppia,learn
kasvi,plant
kansi,cover
ruoka,food
aurinko,sun
neljä,four
välillä,between
valtio,state
pitää,keep
silmä,eye
ei koskaan,never
viime,last
antaa,let
ajatus,thought
kaupunki,city
puu,tree
cross,cross
maatila,farm
kova,hard
alku,start
ehkä,might
tarina,story
saha,saw
pitkälle,far
meri,sea
piirtää,draw
vasen,left
myöhään,late
run,run
eivät,don’t
taas,while
lehdistö,press
lähellä,close
yö,night
todellinen,real
elämä,life
harvat,few
pohjoiseen,north
kirja,book
kuljettaa,carry
otti,took
tiede,science
syödä,eat
huone,room
ystävä,friend
alkoi,began
idea,idea
kala,fish
vuori,mountain
lopettaa,stop
kerran,once
pohja,base
kuulla,hear
hevonen,horse
leikkaus,cut
varma,sure
katsella,watch
väri,color
kasvot,face
puu,wood
tärkein,main
avoin,open
näyttää,seem
yhdessä,together
seuraava,next
valkoinen,white
lapset,children
alkaa,begin
sai,got
kävellä,walk
esimerkiksi,example
helppous,ease
paperi,paper
ryhmä,group
aina,always
musiikki,music
ne,those
molemmat,both
merkki,mark
usein,often
kirje,letter
saakka,until
maili,mile
joki,river
auto,car
jalat,feet
hoito,care
toinen,second
tarpeeksi,enough
tavallinen,plain
tyttö,girl
tavallinen,usual
nuori,young
valmis,ready
edellä,above
koskaan,ever
punainen,red
lista,list
vaikka,though
tuntea,feel
puhua,talk
lintu,bird
pian,soon
elin,body
koira,dog
perhe,family
suora,direct
aiheuttaa,pose
jätä,leave
laulu,song
mitata,measure
ovi,door
tuote,product
musta,black
lyhyt,short
numero,numeral
luokka,class
tuuli,wind
kysymys,question
tapahtua,happen
täydellinen,complete
laiva,ship
alue,area
puoli,half
kallio,rock
järjestys,order
palo,fire
etelään,south
ongelma,problem
pala,piece
kertoi,told
tiesi,knew
kulkea,pass
koska,since
alkuun,top
koko,whole
kuningas,king
katu,street
tuuma,inch
lisääntyä,multiply
ei mitään,nothing
kurssi,course
pysyä,stay
pyörä,wheel
täysi,full
voima,force
sininen,blue
esine,object
päättää,decide
pinta,surface
syvä,deep
moon,moon
saari,island
jalka,foot
järjestelmä,system
kiireinen,busy
testi,test
ennätys,record
veneen,boat
yhteinen,common
kulta,gold
mahdollinen,possible
kone,plane
sijaansa,stead
kuiva,dry
ihme,wonder
nauraa,laugh
tuhatta,thousand
sitten,ago
juoksi,ran
tarkistaa,check
peli,game
muoto,shape
rinnastaa,equate
neiti,miss
toi,brought
lämpö,heat
lumi,snow
rengas,tire
tuoda,bring
kyllä,yes
kaukainen,distant
täyttää,fill
itään,east
maali,paint
kieli,language
keskuudessa,among
yksikkö,unit
voima,power
kaupunki,town
hieno,fine
tietty,certain
lentää,fly
pudota,fall
johtaa,lead
itkeä,cry
pimeä,dark
kone,machine
huomautus,note
odottaa,wait
suunnitelma,plan
kuva,figure
tähti,star
laatikko,box
substantiivi,noun
kenttä,field
levätä,rest
oikea,correct
pystyy,able
punta,pound
tehty,done
kauneus,beauty
ajaa,drive
seisoi,stood
sisältävät,contain
etuosa,front
opettaa,teach
viikko,week
lopullinen,final
antoi,gave
vihreä,green
oi,oh
nopea,quick
kehittää,develop
valtameri,ocean
lämmin,warm
vapaa,free
minuutti,minute
vahva,strong
erityistä,special
mieli,mind
takana,behind
selkeä,clear
pyrstö,tail
tuottaa,produce
tosiasia,fact
tilaa,space
kuuli,heard
paras,best
tunti,hour
parempi,better
totta,true
aikana,during
sata,hundred
viisi,five
muistaa,remember
vaihe,step
varhainen,early
pidä,hold
länsi,west
maa,ground
etua,interest
tavoittaa,reach
nopeasti,fast
verbi,verb
laulaa,sing
kuunnella,listen
kuusi,six
taulukko,table
matkailu,travel
vähemmän,less
aamu,morning
kymmenen,ten
yksinkertainen,simple
useat,several
vokaali,vowel
kohti,toward
